problem_id;phase_id_dep;title;problem_description;choice_a;outcome_a;visibility_a;flow_a;familly_life_a;rythm_a;choice_b;outcome_b;visibility_b;flow_b;familly_life_b;rythm_b;card_img_id
STREAM_IMPROMPTU;;Stream imprévu;Un fan enthousiaste t’invite à participer à un stream collaboratif ce soir à 21h. Tu n'avais rien prévu, mais ça peut être cool.;Accepter le stream;Tu acceptes ! C'est fun, ça fait découvrir ta chaîne à d'autres, mais tu dors à 2h du mat.;1;-1;-2;1;Refuser poliment;Tu refuses. Dommage pour la visibilité, mais tu lis une histoire à ta fille et dors tôt.;0;2;3;0;PLOUF_HESITE
DAUGHTER_SICK;MOUNT_CHRONIQUE_VIDEO;Fièvre nocturne;Ta fille est malade, elle a besoin de toi ce soir.;Lui lire une histoire et rester près d'elle;Tu sacrifies ta session de montage, mais tu gagnes des câlins et une soirée douce.;0;1;4;-2;Mettre un casque et monter quand même;Tu bosses en espérant qu’elle dorme. Tu stresses à chaque toux.;1;-2;-3;1;PLOUF_PETITE_JOUER
SPONSOR_EMAIL;UPLOAD_CHRONIQUE_VIDEO;Mail de sponsor tardif;Une marque t’écrit pour sponsoriser ta prochaine vidéo. Le mail est arrivé dans les spams.;Répondre dans la foulée;Tu assures le partenariat, mais tu dois bosser tard pour intégrer la pub.;2;-1;-1;0;Laisser pour demain;Tu dors, mais le sponsor va peut-être se rétracter.;0;2;2;0;EDITOR
PSEUDOLESS_DECIDE;;Annonce de Pseudoless;Pseudoless t’annonce le jeu du podcast : un visual novel de 25h.;Commencer à y jouer tout de suite;Tu prends de l’avance, mais dis adieu à ta soirée.;0;-1;-2;3;Attendre le week-end;Tu repousses, mais tu restes dispo pour ta famille.;0;1;2;0;PSEUDO
ANIMATION_BLOCK;ANIMATE_CHRONIQUE;Blocage d’animation;Tu galères à animer un passage où tu te fais écraser par un mob.;Reprendre depuis le début;Tu perds du temps mais le rendu est bien meilleur.;2;-1;0;-2;Garder l’anim moyenne;Tu passes à autre chose. L'humour en prend un coup.;-2;1;0;0;PLOUF_BUREAU
TWITTER_DRAMA;;Petit drama Twitter;Un influenceur te cite en se moquant d’un de tes dessins.;Répondre avec humour;Ta répartie fait mouche, mais ça t’a pompé.;1;-2;0;0;Ignorer;Tu continues ta journée sans t'énerver.;0;2;0;0;PLOUF_HESITE
RECORDING_ISSUE;REGISTER_VOICE;Micro HS;Tu découvres que ton micro a buggé, et ton enregistrement est inaudible.;Recommencer l'enregistrement;Ton texte est bien rodé maintenant, mais tu y passes l'aprèm.;2;-1;0;-1;Utiliser un vieux backup;La qualité est bof, mais tu gagnes du temps.;-1;1;0;0;PLOUF_BUREAU
WIFE_DATE_SOON;MOUNT_CHRONIQUE_VIDEO;Soirée prévue en couple;Ta femme te rappelle votre dîner prévu ce jeudi.;Préparer la vidéo à l’avance;Tu stresses un peu mais t’assures le montage en avance.;1;-2;3;0;Lui dire qu’on décale;Tu repousses le dîner, mais tu risques une soupe à la grimace.;0;-1;-3;1;PLOUF_FAMILLE_MANGER
GAME_TOO_LONG;PLAY_CHRONIQUE_GAME;Jeu interminable;Le jeu de la chronique est deux fois plus long que prévu.;Rusher le jeu;Tu prends des raccourcis. La vidéo sera moins complète.;-1;0;0;2;Changer de jeu;Tu recommences de zéro, mais tu es plus inspiré.;2;-1;0;-2;PLOUF_CANAPE
DAUGHTER_DRAWING;WRITE_CHRONIQUE;Dessin avec ta fille;Ta fille veut que tu dessines des dinosaures avec elle.;Lui consacrer 30 minutes;Tu t’amuses, et tu te reconnectes à ton plaisir de dessiner.;2;2;3;0;Promettre demain;Elle boude un peu, mais tu avances ton storyboard.;0;1;-2;0;PLOUF_PETITE_JOUER
DISCORD_SPAM;;Spam sur ton Discord;Ton serveur est envahi de bots pendant la nuit.;Tout modérer toi-même;Tu règles le souci mais perds une matinée.;-1;-2;0;-1;Demander à un modo;Tu délègues. Tu peux souffler.;0;2;0;0;PLOUF_BUREAU
ADOBE_CRASH;MOUNT_CHRONIQUE_VIDEO;Crash de Premiere;Premiere plante et tu perds 3h de montage.;Hurler et tout refaire;Tu relances le logiciel à contrecœur, mais avec efficacité.;-1;-2;0;-2;Faire une pause;Tu respires. Et si tu devenais berger après tout ?;1;3;1;0;PLOUF_COLERE
REVIEW_NOT_FUNNY;WRITE_CHRONIQUE;Texte pas drôle;Tu relis ton script : aucune blague ne fonctionne.;Réécrire tout;Tu reprends à zéro. C’est long, mais tu retrouves ton style.;3;-1;0;-1;Garder comme ça;Tu publies une vidéo “meh”. Les fans le remarquent.;-3;1;0;0;PLOUF_HESITE
LITTLE_SUCCESS;;Vidéo qui cartonne;Vidéo précédente atteint 200k vues !;Faire une annonce joyeuse;Tu savoures et partages la joie.;2;2;0;0;Garder la tête froide;Tu continues sans rien dire, concentré.;1;1;0;0;PLOUF
MORNING_HIKE;PLAY_CHRONIQUE_GAME;Randonnée du dimanche;Ta femme propose une balade en famille dimanche.;Refuser pour jouer;Tu gagnes du temps pour tester un jeu mais ça crée une tension.;0;-1;-3;2;Accepter;Tu profites de l’air frais et d’un pique-nique.;1;3;3;-1;MMEPLOUF
TOO_MANY_GAMES;CHOOSE_CHRONIQUE_GAME;Sorties multiples;Cinq jeux sortent cette semaine !;Tout tester;Tu survoles tout, mais t'es largué pour les chroniques.;1;-1;0;3;Choisir un seul jeu;Tu creuses un sujet, ton analyse sera meilleure.;3;1;0;-2;PLOUF_FATIGUE
STORYBOOK_GOLDEN;REGISTER_VOICE;Conte du soir magique;Ta fille rigole pendant toute la lecture du soir.;Improviser un conte toi-même;Tu crées une histoire avec des zombies mignons.;3;2;4;0;Lui lire un livre classique;Elle adore, et tu reposes ta voix.;1;2;3;0;PLOUF_PETITE_JOUER
YOUTUBE_COMMENT;ANSWER_CHRONIQUE_COMMENTS;Commentaire méchant;Un internaute te traite de vendu.;Répondre avec sarcasme;Tu gagnes des likes, mais ça te trotte en tête.;0;-2;0;0;L’ignorer;Tu ne t’embarques pas là-dedans.;0;2;0;0;PLOUF_COLERE
MEAL_BREAK;;Pause déjeuner;Il est 14h, tu n’as toujours pas mangé.;Commander un tacos;Tu perds en énergie mais gagnes du temps.;-1;-1;0;0;Faire une vraie pause;Tu cuisines, tu te poses, tu repars frais.;2;2;1;-1;PLOUF_FAMILLE_MANGER
VIDEO_ANALYSIS_IDEA;WRITE_CHRONIQUE;Idée d’analyse;Tu as une fulgurance : et si tu faisais une vidéo analyse sur la boucle de gameplay ?;Commencer à l’écrire;Tu poses des idées brutes, ça fuse !;3;2;0;-1;Laisser de côté;Tu oublies vite cette idée.;-2;0;0;0;PLOUF_HESITE
COFFEE_SPILL;DRAW_CHRONIQUE;Café renversé;Tu renverses ton café sur ton carnet de croquis.;Rire et redessiner;Tu acceptes le chaos et te relances.;1;1;0;-1;Pester pendant 1h;Tout t’énerve, même le chat.;-2;-2;0;0;PLOUF_FATIGUE
INSPIRATION_MUSEE;DRAW_CHRONIQUE;Sortie musée;Ta femme te propose une expo de pixel art.;Y aller;Tu fais le plein d’idées et tu passes un bon moment.;3;2;2;-1;Rester bosser;Tu avances sur les dessins mais l’ennui s’installe.;0;-1;-1;0;MMEPLOUF_COLERE
YOUTUBE_ALGO;STREAM_POST_CHRONIQUE;Youtube te snobe;La vidéo stagne à 12k vues.;Changer la miniature;Tu tentes un truc absurde. Ça marche !;1;1;0;0;Ne rien changer;Tu assumes. Le bouche-à-oreille fera le reste.;0;0;0;0;PLOUF_BUREAU
NIGHT_EDITING;MOUNT_CHRONIQUE_VIDEO;Montage nocturne;Il est minuit. Tu n’as pas fini le montage.;Continuer;Tu finis à 3h. Tu tiens avec du thé.;1;-3;-2;0;Dormir et reprendre demain;Tu es plus frais mais tu repousses l’upload.;2;2;0;-1;PLOUF_FATIGUE
CHILD_INTERRUPT;REGISTER_VOICE;Interruption mignonne;Ta fille débarque pendant que tu enregistres.;Garder la prise;Tu publies avec sa voix “papa !”, c’est adorable.;2;1;3;0;Recommencer;Tu coupes et tu râles un peu.;-1;-1;0;0;PLOUF_PETITE_JOUER
SPONSOR_NOT_FUNNY;WRITE_CHRONIQUE;Pub pas drôle;Le sponsor demande un script très sérieux.;Jouer le jeu corporate;Tu encaisses, mais ça te frustre.;-1;-1;0;0;Proposer une vanne quand même;Tu négocies et gardes ton ton.;2;0;0;0;EDITOR
MOBILE_GAME_EMAIL;CHOOSE_CHRONIQUE_GAME;Jeu mobile douteux;Un éditeur te propose un sponsor pour un gacha douteux.;Accepter;Le montant est bon… mais tu perds en street cred.;-2;-2;0;0;Refuser;Tu restes aligné avec tes valeurs.;1;2;0;0;EDITOR
RAINY_DAY;DRAW_CHRONIQUE;Pluie toute la journée;Il pleut à torrents. Ta fille veut jouer à la Switch avec toi.;Dire oui;Vous rigolez sur Mario Kart, c’est une pause sympa.;1;3;3;-1;Refuser;Elle boude. Tu avances ton dessin.;2;-1;-2;0;PLOUF_PETITE_JOUER
INBOX_OVERLOAD;;Trop de mails;Ta boîte de réception explose.;Tout traiter;Tu y passes l’après-midi. Moins de charge mentale après.;0;2;0;-2;Laisser pour demain;Tu procrastines… et tu stresses.;0;-2;0;0;PLOUF_BUREAU
LIVESTREAM_FAIL;STREAM_POST_CHRONIQUE;Stream qui coupe;OBS plante au bout de 10 min.;Relancer direct;Tu transpires mais tu restes pro.;0;-1;0;0;Abandonner;Tu annonces que t’as la flemme. Les fans compatissent.;0;2;0;0;PLOUF_COLERE
TIKTOK_TREND;;Tendance TikTok;Un extrait d’un de tes vieux sketchs devient viral.;Le commenter en vidéo courte;Tu surfes sur la vague et gagnes des abonnés.;2;2;0;0;Ignorer;Tu continues ta routine.;0;0;0;0;PLOUF_BUREAU
BOREALIS_EMAIL;;Invitation à un event;Un salon de jeux indés à Vienne t’invite.;Accepter;Tu découvres plein de pépites et des devs cools.;3;2;0;-1;Refuser;Tu gagnes du temps pour ta vidéo.;0;1;0;2;PLOUF_RETARD
COUPLE_TENSION;;Tension de couple;Ta femme soupire quand tu parles encore de ton podcast.;Organiser une soirée rien qu’à deux;Tu retombes amoureux, littéralement.;0;3;4;-1;Ignorer et continuer le taff;Elle te parle froidement le lendemain.;-1;-3;-4;0;MMEPLOUF_COLERE
PODCAST_LAG;;Podcast en galère;Le montage audio du podcast bug.;Tout refaire;Tu répares tout à l’ancienne.;0;-2;0;-1;Appeler Pseudoless pour t’aider;Il te donne un fichier propre, ouf.;1;1;0;0;PSEUDO
TOO_MUCH_SCREEN;;Trop d’écrans;Tu commences à avoir mal aux yeux.;Faire une sieste;Tu dors 20 minutes. Renaissance.;1;2;1;-1;Boire un café;Tu fonces… droit dans la fatigue.;0;-2;0;0;PLOUF_FATIGUE
SOUND_AMBIANCE;REGISTER_VOICE;Ambiance sonore;Un oiseau chante trop fort dans le micro.;Réenregistrer plus tard;Tu attends. Mais ça repousse ton planning.;0;0;0;-1;Garder le bruit;Tu fais une vanne dessus. Les gens adorent.;2;2;0;0;PLOUF_COLERE
REHEARSE_SCRIPT;;Répétition de texte;Tu bloques sur une phrase compliquée.;Faire 15 prises;Tu t’énerves un peu, mais c’est fluide au final.;2;-1;0;0;Changer la phrase;Tu simplifies. C’est plus clair, mais moins drôle.;-1;1;0;0;PLOUF_BUREAU
BABY_TOY_HURT;;Jouet qui traîne;Tu marches sur un petit poney rose.;Rire et faire une blague en vidéo;Le moment devient un running gag.;2;1;2;0;Crier et râler;Tu fais peur à tout le monde.;-1;-2;-2;0;PLOUF_COLERE
LOST_PROJECT_FILE;UPLOAD_CHRONIQUE_VIDEO;Fichier perdu;Ton projet de montage a disparu du disque dur.;Rechercher dans la corbeille;Tu retrouves le fichier, mais tu perds du temps.;0;-2;0;0;Recommencer depuis zéro;Tu reconstruis ton projet et ça devient encore mieux.;2;-1;0;-2;PLOUF_BUREAU
LAUNCH_WEEK;UPLOAD_CHRONIQUE_VIDEO;Semaine de lancement;La sortie du jeu que tu chroniques est imminente.;Mettre la vidéo en ligne tôt;Tu es à l'heure, mais tu n’as pas le temps de profiter de la sortie.;0;0;-1;1;Reporter l’upload;Tu attends quelques jours pour peaufiner, mais tu manques l’effet de la nouveauté.;1;-2;0;-1;PLOUF_RETARD
NIGHT_MILK;;Biberon de nuit;Ta fille te réveille à 2h du matin pour un biberon.;Lui donner tout de suite;Tu passes un moment adorable avec elle, mais ça te fatigue.;0;2;3;-2;Lui dire de revenir dans 10 min;Elle pleure un peu, mais tu te reposes avant.;1;1;-1;0;MMEPLOUF_LIT
MUSEUM_DAY;;Visite au musée;La famille veut aller au musée pendant que tu prépares une vidéo.;Annuler le musée pour bosser;Tu perds l’occasion d’apprendre et de partager des souvenirs.;-1;-2;0;2;Accepter et y aller;Tu es inspiré par l’art et les idées de tes dessins sont plus fraîches.;2;2;2;0;PLOUF_PETITE_JOUER
FAMILY_BIRTHDAY;UPLOAD_CHRONIQUE_VIDEO;Anniversaire en famille;C’est l’anniversaire de ta belle-mère, mais tu dois publier ta vidéo.;Annuler pour fêter;Tu es présent, et la vidéo peut attendre.;2;2;3;-2;Répéter à distance;Tu filmes la vidéo en avance, mais la famille est déçue.;-1;-2;-3;2;PLOUF_FAMILLE_MANGER
VIDEO_EDITOR_DISASTER;MOUNT_CHRONIQUE_VIDEO;Crash de l’éditeur vidéo;Premiere plante et tu perds toute la timeline de montage.;Tout recommencer;Tu sais ce que tu veux, mais ça te prend une éternité.;2;-2;0;-2;Chercher un backup;Tu retrouves un fichier plus ancien, mais c’est loin d’être parfait.;-1;0;0;1;PLOUF_BUREAU
PSEUDOLESS_DEADLINE;PLAY_CHRONIQUE_GAME;Deadline avec Pseudoless;Le podcast doit être envoyé ce soir, mais tu n’as pas fini de jouer au jeu.;Laisser de côté les derniers détails;Tu finis par envoyer le podcast, mais tu sens qu’il manque quelque chose.;1;-1;0;1;Repousser l’enregistrement;Tu repasses une dernière fois sur le jeu, mais Pseudoless te taquine.;0;-2;0;2;PSEUDO
WEBCAM_FAILURE;STREAM_POST_CHRONIQUE;Caméra HS;Ta webcam ne fonctionne pas pendant l’enregistrement de la vidéo.;Enregistrer sans caméra;Tu fais une vidéo sans facecam, ce n’est pas l’idéal, mais ça fonctionne.;0;-1;0;1;Tenter de réparer;Tu perds du temps à chercher une solution, mais la vidéo sera meilleure.;1;-2;0;0;PLOUF_BUREAU
DEADLINE_MELTDOWN;;Crash sous la pression;Tu réalises que tu n’as plus de temps pour tout faire.;Prendre une pause;Tu récupères de l’énergie, mais tu manques des deadlines.;0;-2;-1;2;Continuer malgré tout;Tu forces le travail et as une fin de journée chaotique.;-1;-3;0;-2;PLOUF_RETARD
GAMER_ILLNESS;PLAY_CHRONIQUE_GAME;Malade après une longue session;Tu es malade après avoir joué trop longtemps sans pauses.;Reposer quelques heures;Tu reprends le travail après une pause et la vidéo est de bonne qualité.;1;1;0;-2;Continuer à jouer;Tu réussis à finir le jeu, mais tu te sens épuisé.;-2;-3;0;1;PLOUF_SALE
