problem_id;phase_id_dep;title;problem_description;choice_a;outcome_a;popularity_a;creativity_a;familly_life_a;speed_a;choice_b;outcome_b;popularity_b;creativity_b;familly_life_b;speed_b;character_img_id;background_img_id
PC_OVERLOAD;;;Tu lances un render, un upload, un montage et un script en même temps. Et ton PC est à l'agonie.;Tout fermer et ne garder qu’un truc;Ton PC survit, mais le rendu prenant des heures, tu perds ton aprem.;0;0;0;-1;Mettre une musique épique et appeler\n ça “mode super-sayan”;Ca sent le cramé dans toute la pièce au bout de 2h, tu te dis qu'il faudrait revoir le cooling de ton ordi un jour, ou l'utiliser pour cuire des cotelettes.;0;0;0;+1;PLOUF;BACK_BUREAU
FTL;;;Tu te trompes d'icone sur le bureau, et lances FTL par erreur.;Tu fermes le jeu immédiatement;... bon après 5min, juste le temps d'écouter un peu cette musique. Haaaaaa quelle musique....;0;0;0;-1;Non mais juste une petite run orientée\n abordage, c'est rapide ça;Tu te demandes encore comment tes deux mantis ont pu perdre contre un seul Engi, tu dois donc relancer une autre run alors que tu étais arrivé au secteur 7.;0;0;0;+1;PLOUF_FTL;BACK_CANAPE
LOST_CARDS;;;La Poste a perdu 10 cartes postales pour les tipeee;Faire semblant d'avoir raté l'alerte;Les tipeeurs sont tristes de ne pas pouvoir envoyer de carte postales à leur famille avec Monsieur Plouf dessus;-1;0;0;+1;Relancer de suite;Tu te débats dans les méandres de la Poste, mais ils arrivent à retrouver les colis, ça t'as juste pris plus de 4h au téléphone...;+1;0;0;-1;PLOUF_COLERE;BACK_PLOUFCAVE
WHAT_REMAINS_OF_2024;;;Tu penses faire une vidéo "Que reste-t-il de 2024?" avec une review de 12 jeux d'un coup;Reprendre les jeux déjà chroniqués;Pour gagner du temps tu repioches dans les jeux que tu as déjà chroniqués, mais le public s'attendais à de l'innatendu;-1;0;0;+1;12 jeux originaux sinon rien;Tu pioches dans 12 jeux dont tu n'avais pas parlé jusque qu'ici. Mais tu dois reprendre des captures des jeux et c'est super long;+1;0;0;-1;PLOUF_HESITE;BACK_CANAPE
UBI_FORWARDE_GAME;;;Le stream Ubi Forward commence et avec Pseudoless vous faites un bingo game basés sur le nombre de "live service" prononcés;Parier une écriture de vidéo;Toutes les 10 prononciations vous faites une vidéo en plus. En une soirée, votre planning est plein pour l'année!;-1;0;0;+1;Parier à boire;Vous faites un jeu à boire. Le public est content de vous voir littéralement rouler sous vos bureaux au bout de 30min, mais vous n'avez plus 20ans, et le reste de la semaine est très, très rude;+1;0;0;-1;PLOUF_SALE;BACK_PODCAST
KONAMI_CASINO;;;Konami revient avec un trailer de jeu de caniso en ligne Silent hill;Twitter "Comment tuer une franchise";Konami n'a pas apprécié la blague, et te blackliste désormais. Enfin encore plus qu'avant;-1;0;0;+1;Créer un faux trailer MGS6;Tu passes du temps à créer un super trailer sur un MGS6, les fans adorent, et filent harceler Konami pour l'avoir.;+1;0;0;-1;EDITOR;BACK_EDITEUR
OUTER_WILDS;;;Tu te réveilles en pleine nuit la veille de la sortie de la vidéo: tu as donné le nom "Outer Worlds" à Valix pour la miniature au lieu de "Outer Wilds"!;Tu fais ton David Goodenough;Bon les deux sont dans l'espace, oublies que tu as aucune chance, sur un malentendu ça passe;-1;0;0;+1;Prévenir Valix à l'arrache;Valix ne panique pas mais ça va prendre du temps de la refaire, mais le résultat est magnifique;+1;0;0;-1;PLOUF_HESITE;BACK_CHAMBRE
IMAGINARY_MONSTER;;;Tu mentionnes dans ta chronique un monstre qui est en fait retiré du jeu à sa sortie dans Monster Hunter Wilds;Tu assumes;Tu décris en détail le comportement du monstre, tout le monde comprends que Capcom a prévu un DLC pour le sortir plus tard. Capcom d'ailleurs: leur seule réponse est un GIF de Palico confu;0;+1;0;0;Tu l'as peu être inventé?;Tu te demande si ta créativité n'est pas hors de contrôle, tu vas faire plus attention à rester terre à terre pendant un temps;0;-1;0;0;PLOUF_FATIGUE;BACK_CANAPE
BATTRE_BENJAMIN;;;Tu tentes de battre le record de Pseudoless au karaoké sur Yakusa. Soyons honnête: fini le jeu tortue ninja sur nes les yeux fermés serait plus simple.;Tu ne lâches rien;Tu focus pendant 80h d'affilés, mais tu l'as battu sur une chanson. Mais désormais ton cervau "voit" la musique, pratique. Bon le mauvais côté: ton cervau "voit" la musique...;0;+1;0;-1;Tu abandonnes vite;Au bout de 15min tu comprends l'erreur que tu as faites. Tu n'apprends rien de neuf, sauf que Pseudo est quand même sacrément balèze aux jeux de rythmes;0;-1;0;+1;PSEUDO;BACK_BIBLIO
MARCHE_GRIS;;;Ton analyse du marché gris a alerté les sites de revente de clés. Tu reçois un email "légal" pas très agréable;Le publier en ligne;Le public te soutiens et adore ton audace. Mais ta juriste à la maison aprécie beaucoup moins la blague par contre et ta passe un savon.;+1;0;-1;0;Se faire discret;Ta juriste à la maison prends le sujet en main et ils battent en retraite. Mais ton public n'a rien compris et pense que tu as attaqué G2A en premier;-1;0;+1;0;MMEPLOUF;BACK_CUISINE
STRANGE_LIGHTS;;;Pendant le test d'Alan Wake 2 les lumières de ton bureau clignotent en rythme avec les jump scare du jeu!;Intégrer à ta vidéo;Sam Lake te cite comme meilleur testeur lumière, mais madame et cherche activement un nouvel appartement vu que celui là semble maudit;+1;0;-1;0;Appeler un électricien;Il te facture 200€ et "debunk" la malédiction qui était juste de ton ancienne Wii U avec Sonic Lost World dedans: il est connu que mélanger Sega et Nintendo fait des étincelles, tu aurais du le savoir avec le temps;-1;0;+1;0;MMEPLOUF;BACK_BUREAU
PSEUDO_FIFA;;;Tu es plus que surpris: Pseudoless te propose de parler du nouveau Fifa pour le prochain podcast!;Du foot? pourquoi pas;Tu passes un bon moment à rejouer la victoire de la Suisse face à la France en boucle. Ton stream est dans les plus vus en Suisse lors de cette semaine;+1;0;0;0;Pseudo, tu vas bien?;Tu envois vite la police chez Pseudoless car tu suspecte qu'il soit retenu contre sa volonté. Et en effet, un fan hardcore de Gotham Knights l'avait enlevé dans une convention DC! Ouf, il est sauvé grâce à ta perspicacité :);0;0;0;0;PSEUDO;BACK_BIBLIO
PSEUDO_LIKE_FF14;;;Pseudoless t'annonce sa vengeance, heu le prochain podcast: FF 14, c'est parti pour 150h de grind!;Couper la poire en deux;Tu proposes FF7 à la place, c'est seulement 40h et plus populaire en plus;+1;0;0;+1;Aller un cran plus loin;Tu proposes FF 15, c'est tout aussi long, mais ça plait moins, Pseudo ne l'ayant pas fait va aussi souffir;-1;0;0;-1;PSEUDO;BACK_PODCAST
WEBCAM_FAILURE;STREAM_POST_CHRONIQUE;;Ta webcam se met à fumer au lancement du stream!;On repousse à demain et tu files\n chez le revendeur du coin;Le magasin était fermé, tu as du en faire 3 pour avoir une caméra, mais au moins elle met bien au point.;+1;0;0;-1;On fait sans facecam;C'était l'occasion de voir ton nouveau setup de stream dans ta nouvelle maison, le chat est déçu.;-1;0;0;+1;PLOUF;BACK_PODCAST
LIVESTREAM_FAIL;STREAM_POST_CHRONIQUE;;OBS plante au bout de 10 min avec une erreur en russe.;Passer 2h à débugger;Tu transpires beaucoup mais tu arrives à trouver une version qui marche.;+1;0;0;-1;Bah pas cette fois.;Tu annonces que t’as la flemme de fixer ce bug. Les fans compatissent mais sont un peu déçu.;-1;0;0;+1;PLOUF;BACK_BUREAU
TROLL_RAID;STREAM_POST_CHRONIQUE;;Ton stream se fait attaquer par des trolls.;Bannir et continuer;Dur à gérer, mais aidé par Léa et Valix, vous gèrez ça comme des pros, tes viewers te soutiennent.;+1;-1;0;0;Stopper le live;Tu coupes, choqué, mais l'esprit protégé.;-1;+1;0;0;FANBOY;BACK_MAISON
CHAT_SPOILERS;STREAM_POST_CHRONIQUE;;Un membre du chat te spoil la fin du jeu de la prochaine chronique que tu venais juste d'annoncer.;Tu en rigoles;Heureusement c'était le prochain Mario, donc savoir que le royaume Champignon est brulé à la fin du jeu n'a que peu d'impact sur le gameplay. Mais tu te dis que ça reste un drôle de choix de la part de Nintendo quand même.;+1;-1;0;0;Tu demande à Léa de s'en "occuper";Ta modératrice ne fait pas dans la dentelle, et on entends les cri du spoilers en echo sur le chat. Pas de pitié avec les spoilers, que ce soit la fun de l'histoire du prochain Mario n'y change rien!;-1;+1;0;0;FANBOY;BACK_MAISON
YOUTUBE_ALGO;STREAM_POST_CHRONIQUE;;Youtube te snobe, la vidéo sur $GAME stagne à 12k vues.;Ne rien changer;Tu assumes. Le bouche-à-oreille fera le reste.;0;-1;0;+1;Changer la miniature;Tu tentes un truc absurde. Ça marche !;0;+1;0;-1;PLOUFMAN;BACK_PLOUFCAVE
STRIKE_YOUTUBE;STREAM_POST_CHRONIQUE;;Ta vidéo $GAME est démonétisée pour une raison absurde.;Faire appel;Tu récupères la monétisation, mais dans 48h. Plus le temps de streamer.;-1;0;0;+1;Râler sur Twitter;Ton public te soutient, mais tu perds du temps à gérer les commentaires.;+1;0;0;-1;EDITOR;BACK_EDITEUR
DAUGHTER_DRAWING;WRITE_CHRONIQUE;;Ta fille veut que tu dessines un dragon avec elle.;Lui consacrer 30 minutes;Tu t’amuses, et tu te reconnectes à ton plaisir de dessiner sur papier.;0;0;+1;-1;Promettre demain;Elle boude un peu, mais tu avances ton écritur.;0;0;-1;+1;PLOUF_FILLE;BACK_PLAGE
REVIEW_NOT_FUNNY;WRITE_CHRONIQUE;;Tu relis ton script : aucune blague sur $GAME ne fonctionne.;Réécrire tout;Tu reprends à zéro. C’est long, mais tu retrouves ton style.;0;+1;0;-1;Garder comme ça;Ca fera une vidéo “meh”, mais ça passe, et puis ça va bien avec $GAME.;0;-1;0;+1;PLOUF_HESITE;BACK_BUREAU
SPONSOR_NOT_FUNNY;WRITE_CHRONIQUE;;Le sponsor d'une vidéo d'analyse n'est pas fan de Gros nounours, et demande un script plus sérieux.;Jouer le jeu corporate;Tu encaisses, mais ça te frustre de ne pouvoir placer Gros nounours.;+1;0;0;-1;Négocier;Tu négocies et gardes ton ton, mais la marque va moins parler de ta vidéo sur Twitter.;-1;0;0;+1;EDITOR;BACK_EDITEUR
SLEEP_IN;WRITE_CHRONIQUE;;Grosse soirée, tu te lèves à 11h, explosé.;Tenter de rattraper le retard;Tu rushes ta matinée. L’angoisse monte.;0;-1;0;+1;Commencer mollo;Tu prends le temps de petit-déjeuner et d’émerger.;0;+1;0;-1;PLOUF_FATIGUE;BACK_CUISINE
VIDEO_ANALYSIS_IDEA;WRITE_CHRONIQUE;;Tu as une fulgurance : et si tu faisais une vidéo analyse sur la boucle de gameplay de Pong?;Focus sur ce que tu faisais;Tu oublies vite cette idée. La vidéo serait bien trop longue.;0;-1;0;+1;Tu arrêtes tout et commencer à l’écrire;Tu poses des idées brutes, ça fuse !;0;+1;0;-1;PLOUF_HESITE;BACK_CANAPE
CRY_FAR_CRY;WRITE_CHRONIQUE;;Tu as ENFIN un Far Cry en Australie! Mais fini en 10h, rien ne vient pour ton texte. Ce jeu est vide, RIEN de changé avec Far Cry 6, et même pas de boumerang!;Te torturer 3 jours sur l'écriture de la\n chronique.;Cette chronique sera l'une des plus vues, avec une comparaison des thèmes philosophiques entre ce jeu et l'"Etranger" d'Albert Camus.;0;+1;0;0;Tu fais une chronique vide...\n comme le jeu;Ca ne sera pas ta meillere chronique, mais elle sortira bien jeudi;0;-1;0;0;PLOUF_PUBG;BACK_RUE_RUINE
RAINY_DAY;DRAW_CHRONIQUE;;Il pleut à torrents. Ta fille veut jouer à la Switch avec toi.;Dire oui;Vous rigolez sur Mario Kart, c’est une pause sympa.;0;0;+1;-1;Refuser;Elle boude mais tu avances bien ton dessin.;0;0;-1;+1;PLOUF_PETITE_JOUER;BACK_BIBLIO
FILLE_PIRATE;DRAW_CHRONIQUE;;Pendant que tu dessinnais des jolis bateaux pour Barbeplouf sur Yakusa Pirates, ta fille a gribouillé ton story board en rajoutant une jolie licorne pirate;L'intégrer;Tu changes tout ton script pour faire tourner l'histoire autour de l'histoire de Majima qui cherche son cheval tout au long du jeu;0;0;+1;-1;La supprimer;Tu enlèves sa licorne de ton story board, mais elle ne comprends pas en voyant la vidéo finale et te fais la tête désormais;0;0;-1;+1;PLOUF_FILLE;BACK_CHAMBRE
INSPIRATION_MUSEE;DRAW_CHRONIQUE;;Tu manques d'inspiration, madame te propose une expo de pixel art.;Y aller;Tu fais le plein d’idées et tu passes un bon moment.;0;+1;+1;0;Rester bosser;Tu avances sur les dessins de $GAME mais tu bloques toujours.;0;0;0;0;MMEPLOUF;BACK_PLAGE
COFFEE_SPILL;DRAW_CHRONIQUE;;Tu renverses ton café sur ton carnet de croquis sur $GAME.;Te refaire un autre café et redessiner;Tu acceptes le chaos et te relances, et ça donne au final un résultat encore meilleur.;0;+1;0;-1;Pester pendant 5min mais partir avec ça;Bon tu n'arrives plus à comprendre certains détails qui sont peut-être du café (ou pas) mais tu as assez perdu de temps.;0;-1;0;+1;PLOUF_FATIGUE;BACK_CUISINE
SWITCH_NEW_GAME;DRAW_CHRONIQUE;;Un nouveau Mario Paper sort aujourd’hui en shadow drop! Maudit Nintendo.;Le laisser de côté;Tu te tiens à ton plan. Tu le savoureras plus tard.;0;-1;0;+1;Y jouer tout de suite;Tu t’éclates, mais perds une journée.;0;+1;0;-1;PLOUF_JEU_MORT;BACK_CUISINE
ACE_ATORNEY;CHOOSE_CHRONIQUE_GAME;;Ta chère et tendre te "suggère" très fortement de laisser de côté $GAME pour faire le nouveau Ace Atorney à la place.;Accepter d'y jouer;Tu testes, mais cette histoire de verrou Psychologique a faire sauter ne t'inspire pas trop.;0;0;+1;-1;Refuser avec le plus de diplomatie possible;Objection!... tu ne t'en tireras pas si facilement, et tu le sais. Il faudra bien que tu y joues un jour.;0;0;-1;+1;MMEPLOUF;BACK_PLAGE
TOO_MANY_GAMES;CHOOSE_CHRONIQUE_GAME;;On est en novembre donc... oui c'est l'embouteillage de fin d'année qui est là;Tout tester;Tu survoles 5 jeux, mais 5*10h ça fait quand même 50h, ça va être chaud d'être près pour le jeudi d'après alors qu'on est... mercredi.;0;+1;0;-1;Faire confiance à son instinct;Tu choisi $GAME et focus dessus, ça ne sera peut être pas le meilleur jeu, mais au moins le timing sera ok.;0;-1;0;+1;PLOUF_HESITE;BACK_EMBOUTEILLAGE
VIEWER_POLL;CHOOSE_CHRONIQUE_GAME;;Tu as proposé à ta communauté de voter pour le prochain jeu à tester (mauvaise idée).;Suivre le choix populaire et jouer\n à "Daikatana";Tu joues(aka souffre) sur "Daikatana", les viewers adorent ton calvaire et font des memes entre tes cris et ceux du JDG..;+1;-1;0;0;Changer discrètement les résultats\n (pour Stray);Tu optes pour "Stray", certains fans râlent, mais les potis chats ça marche toujours.;-1;+1;0;0;PLOUF_HESITE;BACK_BUREAU
KID_CHOICE;CHOOSE_CHRONIQUE_GAME;;Ta fille insiste pour que tu testes "Paw Patrol".;Faire une mini-chronique;C'est attroce à jouer, mais tu crées un chef-d'œuvre ironique. Etre un jeu pour enfant ne pardonne pas tout.;+1;-1;0;0;Refuser avec un dessin;Elle boude, mais tu gardes ta dignité (et santé mentale).;-1;+1;0;0;PLOUF_FILLE;BACK_PLAGE
SKULL_BONES;CHOOSE_CHRONIQUE_GAME;;Ubisoft t'envoie une clé "Skull & Bones" Ultra premium avec un gros chèque (virtuel) pour acheter sur leur boutique de micro transactions.;Se laisser tenter;Tu tentes de deviner où sont passés les 11 ans de développements. Tu ne trouves pas, mais cet excercie mental t'a bien mis en jambe pour la journée.;0;+1;0;0;Non mais non en fait;Un jeu de pirates? Et pourquoi pas un Yakusa pirate tant qu'on y est?;0;-1;0;0;PLOUF_DARK;BACK_EDITEUR
MARVEL_AVENGER;CHOOSE_CHRONIQUE_GAME;;Tu testes "Marvel'Avenger", et au bout de 15min tu sens que ça va être dur, très dur.;Y jouer sobre;Tu te demandes s'il va être plus pénible que Resident Evil 6. En tout cas il est bien parti pour. Mais ça te donne de nouvelles idées de gags.;0;+1;0;0;Le continuer après une soirée arosés\n avec des amis;Ceci améliore grandement le jeu, par contre tu n'arrives pas du tout à relire tes notes. Tu n'as pas le courage d'y jouer sobre, faut pas pousser.;0;-1;0;0;PLOUF_FATIGUE;BACK_CANAPE
RIDE_TO_HELL;CHOOSE_CHRONIQUE_GAME;;Tu pensais avoir pris Days Gone, mais au bout de 2h de jeux tu as un doute, et c'est en fait Ride To Hell Retribution!;Continuer à "jouer";Mme Plouf te demande à quoi tu joues lors d'une scène... "érotique" et tu bafouilles en lui répondant. Par contre tu as trouvé le prochain sujet du podcast de Noël.;0;+1;0;0;Tu arrêtes les frais de suite;Bon 2h de perdu et tu dois réussir à revendre ce jeu maintenant sur Le bon coin.;0;-1;0;0;PLOUFMAN;BACK_PLOUFCAVE
METROID_FEDERATION;CHOOSE_CHRONIQUE_GAME;;Tu testes le jeu Metroid Federation Forces, mais il est si nul!;Faire ton deuil, et parler de cet affront à la franchise;Tu traites hônnetement de ce jeu, mais tu ne regaderas plus jamais cette franchise de la même manière.;0;+1;0;0;Tu passe vite sur le sujet;Tu supprimes tes souvenir de ce jeu.;0;-1;0;0;PLOUF_DARK;BACK_RUE_RUINE
FIFA_TRAUMA;CHOOSE_CHRONIQUE_GAME;;Si Fifa est l'un des jeux les plus vendu, c'est qu'il y a une raison non? Tu y joues avec Madame en jouant l'équipe Suisse.;Vous jouez plus de 50h;Vous avez rajoué toute la dernière coupe du monde. C'était très rigolo, mais tu te dis que 10h auraient largement suffit pour la chronique en fait;0;0;+1;0;Jouer juste une soirée;Madame avait sorti les drapeaux Suisse dans toute la maison, mais les range tristement.;0;0;-1;0;PLOUF_FATIGUE;BACK_CANAPE
ROCKET_ADDICT;CHOOSE_CHRONIQUE_GAME;;Tu testes "Valheim" en duo pour une future chronique.;Jouer "juste une dernière";Tu perds 8h dans ce vortex, mais c'était ultra fun.;0;0;+1;0;Désinstaller après 1h;Tu démontais "par erreur" tout le temps le lit de ton ami.;0;0;-1;0;PLOUF_HESITE;BACK_BUREAU
NEW_FROM_SOFT;CHOOSE_CHRONIQUE_GAME;;Tu hésites à tester le nouveau jeu de From Software, mais madame se rapelle que tu étais pas sacrément grognon la dernière fois;Mais le public le demande;Tu passes 80h dans les mondes horrifiques, et tu est mort plus de 1500 fois, donc oui tu était sacrément grognon. Mais tu le sais, le vrai "true last boss" est celle qui te lances un regard de mort de l'autre côté de la table;+1;0;-1;0;Ecouter ta fan N°1;Ton public est déjà sous une avalanche de vidéo sur ce Elden Born Ring, tu en profites pour aller voir un jeu du gamepass mais ça attire moins de monde;-1;0;+1;0;MMEPLOUF_DODO;BACK_CUISINE
GAMER_ILLNESS;PLAY_CHRONIQUE_GAME;;Tu es malade après avoir joué 10h sans pauses à $GAME.;Continuer à jouer;Tu réussis à finir $GAME, mais tu te sens épuisé.;0;-1;0;+1;Reposer quelques heures;Tu reprends $GAME après une bonne nuit.;0;+1;0;-1;PLOUF_FATIGUE;BACK_CHAMBRE
GAME_TOO_LONG;PLAY_CHRONIQUE_GAME;;Horreur: $GAME est deux fois plus long qu'affiché sur How Long To Beat.;Assumer;Bon soit. Tu skiperas peut être une quête secondaire ou deux, mais tu comptes bien voir le plus gros de $GAME.;0;+1;0;-1;Rusher le jeu;Tu prends de (gros) raccourcis. La vidéo sera moins complète mais au moins elle sera à l'heure.;0;-1;0;+1;PLOUF_JEU_MORT;BACK_RUE_RUINE
PSEUDOLESS_DEADLINE;PLAY_CHRONIQUE_GAME;;On est le lundi du post du Podcast, tu n'as pas monté sa vidéo, et 13h arrive bientôt, mais tu n’as pas fini de jouer à $GAME.;Switcher sur le montage vidéo du\n podcast;Tu retrouves tes rushs du jeu et hop, la vidéo est proche.;0;+1;0;-1;Continuer de jouer;Les patreons auront la vidéo en retard, ça leur fera une excuse pour l'écouter une seconde fois.;0;-1;0;+1;PSEUDO;BACK_PODCAST
VIEWER_BET;PLAY_CHRONIQUE_GAME;;Tes viewers parient que tu ne finiras pas "Getting Over It".;Accepter le défi;Tu y passes 8h, ta réaction devient un meme.;+1;-1;0;0;Jouer 30min symboliques;Tu sauves ta santé mentale, mais tu dois avouer à tes viewers qu'ils avaient... bah raison.;-1;+1;0;0;PLOUF_COLERE;BACK_RUE_RUINE
CHAT_CURSE;PLAY_CHRONIQUE_GAME;;Ton chat a voté pour "Minecraft" via des dons comme prochain jeux.;Y aller en solo, voyons voir ce monde aussi caré que toi;Tu creuses sous toi même et tombe dans la lave. C'est nul en fait Minecraft.;+1;-1;0;0;Y aller avec Mme Plouf et Pseudoless (il a été dur à motiver);Madame fait les murs en laine de toutes les couleurs, Pseudoless est déjà parti tuer le dragon au bout d'une heure. Vous vous amusez bien.;-1;+1;0;0;PLOUF_DARK;BACK_CANAPE
RETRO_VOTE;PLAY_CHRONIQUE_GAME;;Tu avais nommé RE6 comme pire jeu du monde. Ta communauté a voté pour "Bubsy 3D". Tu vas devoir y jouer pour départager.;Assumer jusqu'au bout;Tes yeux vont mettres des semaines à s'y remettre, mais RE6 est définitivement pire, car lui souille une license légendaire.;+1;-1;0;0;Regarder un let's play d'un oeil.;Tu auras toujours un doute si RE6 était vraiment le plus mauvais jeu...;-1;+1;0;0;PLOUF_JEU_MORT;BACK_BIBLIO
OVERCOOKED_RAGE;PLAY_CHRONIQUE_GAME;;Tu joues à "Overcooked" avec Madame Plouf, mais ton organisation en cuisine dans le jeu ressemble à celle de la réalité (spoiler: c'est pas génial).;Switcher sur un autre jeu coopératif,\n genre It takes two.;Tu sauves ton égo d'organisateur cuisiniste, mais tu as déjà chroniqué It Takes Two.;0;0;+1;0;Vous continuez à jouer;Ton égo d'organisateur cuisiniste est au niveau des paquerettes, mais la chronique sera bonne;0;0;-1;0;MMEPLOUF;BACK_CUISINE
DIVORCE_DANCE;PLAY_CHRONIQUE_GAME;;Marathon "Just Dance" avec Madame pour la chronique.;Viser le top 1 mondial;Tu finis aux urgences pour claquage, mais madame a de quoi racontrer à votre fille comme histoire drôle pour des années.;0;0;+1;0;Faire 3 chansons et puis fini;Madame aurait bien aimé jouer un peu plus, et il va falloir broder pour faire une bonne chronique.;0;0;-1;0;MMEPLOUF;BACK_CANAPE
MARIO_GAMECUBE;PLAY_CHRONIQUE_GAME;;Lors de ton test sur Paper Mario Remaster tu remarques que les crédits mentionnent encore "Gamecube" au lieu de la Switch, tu préviens Nintendo qui le fixe en moins de 24h (leurs devs sont aussi efficaces que leurs avocats, c'est dire);Faire une vidéo "les fantomes du passé";Tu fais une vidéo sur l'âge d'or des jeux gamecube à tes yeux, Nintendo relais ta vidéo dans le monde entier;+1;0;0;0;Tu mod le jeu pour remettre "gamecube";Nintendo t'envois une mise en demeure dès le lendemain, et tu es ban du Nintendo Online;-1;0;0;0;EDITOR;BACK_EDITEUR
SABRE_COINCE;PLAY_CHRONIQUE_GAME;;Jouer au samouraï est difficile: ton sabre reste coincé dans un mur dans Rise of the Ronin, même après rechargement;Tu publies un speedrun glitch%;Tu en profites pour tester un nouveau type de vidéo, sur l'art du speedrun glitch%, ça prends du temps mais tu as pleins d'idées;0;+1;0;-1;Tu renommes la chronique "Art du bug";Obligé de dessiner un rocher dans toutes tes images qui gache un peu tes jolis dessins;0;-1;0;+1;PLOUF_COLERE;BACK_BUREAU
ANIMATION_BLOCK;ANIMATE_CHRONIQUE;;Tu galères à animer un passage où tu te fais écraser par un mob de $GAME.;Reprendre depuis le début;Tu perds du temps mais le rendu est bien meilleur.;0;+1;0;-1;Garder l’anim moyenne;Tu passes à autre chose. Pas dit que les viewers vont comprendre la blague.;0;-1;0;+1;PLOUF_JEU_MORT;BACK_RUE_RUINE
YOUTUBE_COMMENT;ANSWER_CHRONIQUE_COMMENTS;;Un internaute te traite de vendu (oui y a de sacrés c*ns sur internet quand même).;Répondre avec sarcasme;Tu gagnes des likes, mais ça te trotte en tête pendant des heures.;+1;-1;0;0;L’ignorer;Tu ne t’embarques pas là-dedans.;-1;+1;0;0;FANBOY;BACK_MAISON
SONY_FANS;ANSWER_CHRONIQUE_COMMENTS;;Ta vidéo sur l'échec de la PS5 a reveillé les fan hardcore de Sony et t'inondent de commentaires haineux;Répondre en citant tes sources;Ils battent en retraite, mais tu as perdu 3h dans l'histoire;+1;-1;0;0;Ignorer les haters;Ton public ne comprends pas pourquoi tu laisses des âneries être dit dans les commentaires;-1;+1;0;0;FANBOY;BACK_MAISON
PATREON_CRISIS;ANSWER_CHRONIQUE_COMMENTS;;Un contributeur a mis un commentaire patreon particulièrement négatif et long sur un post, mais au bout de 15min de lecture (oui aussi long que ça) tu comprends que c'était pour Fin du Game et pas Plouf et Pseudo.;Aller écouter le dernier épisode de FDG\n et lui faire une réponse sur le fond;Il s'excuse et promets de ne plus recommencer, mais tu annules ton montage pour aujourd'hui.;+1;0;0;-1;Supprimer purement le commentaire.;Certains membres ne comprennent pas et se plaignent dans d'autres commentaires, c'est sans fin.;-1;0;0;+1;FANBOY;BACK_MAISON